"","transcript","count"
"727","AHSP-201",0
"728","AICDA-201",0
"729","AIDA-201",121
"730","AIF1-203",0
"731","AIF1L-201",0
"732","AIFM1-202",293
"733","AIFM2-204",108
"734","AIFM3-201",0
"735","AIG1-202",243
"736","AIM2-202",150
"737","AIMP1-206",254
"738","AIMP2-201",279
"739","AIP-201",383
"740","AIPL1-203",0
"741","AIRE-201",0
"742","AJAP1-202",0
"743","AJM1-201",0
"744","AJUBA-201",0
"745","AK1-206",0
"746","AK2-202",531
"747","AK3-202",289
"748","AK4-202",183
"749","AK5-203",0
"750","AK6-202",138
"751","AK7-201",0
"752","AK8-201",0
"753","AK9-204",0
"754","AKAIN1-201",0
"755","AKAP1-219",247
"756","AKAP10-201",0
"757","AKAP11-201",0
"758","AKAP12-204",0
"759","AKAP13-203",461
"760","AKAP14-204",0
"761","AKAP17A-201",146
"762","AKAP3-201",0
"763","AKAP4-202",0
"764","AKAP5-202",0
"765","AKAP6-201",0
"766","AKAP7-204",0
"767","AKAP8-201",243
"768","AKAP8L-201",211
"769","AKAP9-201",511
"770","AKIP1-203",80
"771","AKIRIN1-202",130
"772","AKIRIN2-201",227
"773","AKNA-202",517
"774","AKNAD1-204",0
"775","AKR1A1-202",620
"776","AKR1B1-201",1306
"777","AKR1B10-201",0
"778","AKR1B15-204",0
"779","AKR1C1-202",0
"780","AKR1C2-201",0
"781","AKR1C3-201",60
"782","AKR1C4-202",0
"783","AKR1C8P-203",0
"784","AKR1D1-201",0
"785","AKR1E2-201",0
"786","AKR7A2-201",315
"787","AKR7A3-201",0
"788","AKT1-208",0
"789","AKT1S1-207",90
"790","AKT2-206",250
"791","AKT3-217",0
"792","AKTIP-202",99
"793","AL020996.2-202",0
"794","AL021997.3-201",0
"795","AL022238.4-201",0
"796","AL022312.1-201",0
"797","AL022318.4-201",0
"798","AL024498.2-201",0
"799","AL031315.1-201",0
"800","AL031681.3-201",0
"801","AL031777.2-201",0
"802","AL031847.2-201",0
"803","AL033529.1-201",0
"804","AL034430.1-201",0
"805","AL034430.2-201",0
"806","AL035078.4-202",0
"807","AL035460.1-201",0
"808","AL035461.4-201",0
"809","AL035699.1-201",0
"810","AL049650.2-201",0
"811","AL049697.1-201",0
"812","AL049844.3-201",0
"813","AL096711.2-201",0
"814","AL096814.1-202",0
"815","AL109810.2-202",0
"816","AL109811.3-201",0
"817","AL117339.4-201",0
"818","AL117348.2-201",0
"819","AL121594.1-201",0
"820","AL121758.1-201",0
"821","AL121899.2-201",0
"822","AL133352.1-203",0
"823","AL133353.2-201",0
"824","AL133410.3-201",0
"825","AL135905.2-201",0
"826","AL136295.1-201",0
"827","AL136295.5-201",0
"828","AL136531.2-202",9
"829","AL138752.2-201",0
"830","AL138899.3-201",0
"831","AL139142.2-201",0
"832","AL139260.3-202",30
"833","AL139300.1-201",0
"834","AL139353.1-201",0
"835","AL157935.3-203",0
"836","AL160272.2-201",0
"837","AL162231.1-201",0
"838","AL162377.3-201",0
"839","AL162417.1-201",0
"840","AL162596.1-201",0
"841","AL163636.2-201",0
"842","AL353572.3-201",0
"843","AL353579.1-203",0
"844","AL354761.1-202",0
"845","AL355102.2-201",0
"846","AL355312.6-201",0
"847","AL355315.1-201",0
"848","AL357075.4-201",0
"849","AL357673.1-201",0
"850","AL358113.1-204",0
"851","AL358472.6-201",0
"852","AL359092.3-201",0
"853","AL359736.1-201",0
"854","AL359922.1-201",0
"855","AL360181.3-202",0
"856","AL365205.1-203",0
"857","AL365232.1-201",0
"858","AL391650.1-201",0
"859","AL391987.1-201",0
"860","AL391987.2-201",0
"861","AL441992.3-201",0
"862","AL445238.1-201",0
"863","AL445524.2-203",0
"864","AL445989.1-201",0
"865","AL451007.3-201",0
"866","AL451062.4-201",0
"867","AL451136.1-201",0
"868","AL583836.1-201",0
"869","AL589666.1-201",6
"870","AL590132.1-201",0
"871","AL590764.2-203",0
"872","AL591806.4-201",0
"873","AL592490.1-201",0
"874","AL603764.2-201",0
"875","AL627230.5-201",0
"876","AL645922.1-201",0
"877","AL662899.3-201",0
"878","AL662899.4-202",0
"879","AL691442.2-201",0
"880","AL772284.2-201",0
"881","AL807752.7-201",0
"882","AL845331.2-201",0
"883","AL928654.3-201",0
"884","ALAD-201",128
"885","ALAS1-202",186
"886","ALAS2-209",0
"887","ALB-201",0
"888","ALCAM-205",167
"889","ALDH16A1-201",301
"890","ALDH18A1-202",552
"891","ALDH1A1-201",0
"892","ALDH1A2-201",0
"893","ALDH1A3-201",0
"894","ALDH1B1-201",206
"895","ALDH1L1-210",0
"896","ALDH1L2-201",0
"897","ALDH2-201",0
"898","ALDH3A1-206",0
"899","ALDH3A2-202",230
"900","ALDH3B1-201",0
"901","ALDH3B2-211",0
"902","ALDH4A1-202",0
"903","ALDH5A1-202",248
"904","ALDH6A1-202",186
"905","ALDH7A1-201",0
"906","ALDH8A1-201",0
"907","ALDH9A1-201",745
"908","ALDOA-219",88
"909","ALDOB-203",0
"910","ALDOC-203",665
"911","ALG1-204",292
"912","ALG10-201",71
"913","ALG10B-201",0
"914","ALG11-202",0
"915","ALG12-201",0
"916","ALG13-203",106
"917","ALG14-201",0
"918","ALG1L-202",0
"919","ALG1L2-201",0
"920","ALG2-203",602
"921","ALG3-201",1163
"922","ALG5-201",371
"923","ALG6-201",367
"924","ALG8-201",801
"925","ALG9-214",0
"926","ALK-201",0
"927","ALKAL1-201",0
"928","ALKAL2-204",0
"929","ALKBH1-201",0
"930","ALKBH2-202",89
"931","ALKBH3-201",102
"932","ALKBH4-201",0
"933","ALKBH5-201",336
"934","ALKBH6-201",73
"935","ALKBH7-201",451
"936","ALKBH8-205",0
"937","ALLC-201",0
"938","ALMS1-206",0
"939","ALOX12-201",0
"940","ALOX12B-204",0
"941","ALOX15-201",0
"942","ALOX15B-202",0
"943","ALOX5-201",0
"944","ALOX5AP-201",170
"945","ALOXE3-203",0
"946","ALPG-201",0
"947","ALPI-201",0
"948","ALPK1-219",0
"949","ALPK2-201",0
"950","ALPK3-201",0
"951","ALPL-204",0
"952","ALPP-201",0
"953","ALS2-201",0
"954","ALS2CL-201",0
"955","ALX1-201",0
"956","ALX3-201",0
"957","ALX4-201",0
"958","ALYREF-202",933
"959","AMACR-202",0
"960","AMBN-201",0
"961","AMBP-201",0
"962","AMBRA1-201",199
"963","AMD1-204",253
"964","AMDHD1-201",0
"965","AMDHD2-201",195
"966","AMELX-203",0
"967","AMELY-203",0
"968","AMER1-201",0
"969","AMER2-202",0
"970","AMER3-202",0
"971","AMFR-201",447
"972","AMH-201",0
"973","AMHR2-201",0
"974","AMIGO1-202",0
"975","AMIGO2-201",0
"976","AMIGO3-201",0
"977","AMMECR1-201",0
"978","AMMECR1L-201",0
